symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,position_size,pnl_try,portfolio_after
AKBNK,SELL,2025-04-29T04:00:00+00:00,2025-05-08T04:00:00+00:00,49.3,49.88,50.8979,46.6369,45.039,EXPIRED,-1.1765,-0.363,18,72,659.5805,-382.56,105011.81
AKBNK,BUY,2025-05-09T08:00:00+00:00,2025-05-20T08:00:00+00:00,49.92,52.75,48.638,52.0567,53.3387,EXPIRED,5.6691,2.2075,18,72,819.1249,2318.12,107329.93
ASELS,SELL,2025-05-20T04:00:00+00:00,2025-05-23T12:00:00+00:00,132.3,138.3011,138.3011,122.2982,116.2971,SL,-4.536,-1.0,11,44,178.8504,-1073.3,106256.63
AKBNK,BUY,2025-05-21T04:00:00+00:00,2025-05-23T12:00:00+00:00,53.1,51.6448,51.6448,55.5254,56.9806,SL,-2.7405,-1.0,8,32,730.1858,-1062.57,105194.07
AKBNK,SELL,2025-05-27T04:00:00+00:00,2025-06-03T04:00:00+00:00,51.75,53.3783,53.3783,49.0362,47.4079,SL,-3.1465,-1.0,15,60,646.0362,-1051.94,104142.13
ASELS,SELL,2025-06-03T12:00:00+00:00,2025-06-04T08:00:00+00:00,127.7,131.464,131.464,121.4266,117.6626,SL,-2.9475,-1.0,2,8,276.6794,-1041.42,103100.71
ASELS,BUY,2025-06-11T08:00:00+00:00,2025-06-13T08:00:00+00:00,141.9,141.9,137.7446,148.8256,152.981,TP1_BE,0.0,0.0,6,24,248.1126,0.0,103100.71
AKBNK,BUY,2025-06-13T04:00:00+00:00,2025-06-18T12:00:00+00:00,57.4,57.4,55.6771,60.2714,61.9943,TP1_BE,0.0,0.0,11,44,598.4138,0.0,103100.71
ASELS,BUY,2025-06-16T08:00:00+00:00,2025-06-24T08:00:00+00:00,142.5,141.4,137.6681,150.5532,155.3852,EXPIRED,-0.7719,-0.2277,18,72,213.3751,-234.71,102865.99
AKBNK,BUY,2025-06-24T08:00:00+00:00,2025-06-30T08:00:00+00:00,60.35,65.51,58.415,63.575,65.51,TP2,8.5501,2.6667,12,48,531.6072,2743.09,105609.09
AKBNK,BUY,2025-07-04T08:00:00+00:00,2025-07-08T08:00:00+00:00,69.05,66.9173,66.9173,72.6044,74.7371,SL,-3.0886,-1.0,6,24,495.1896,-1056.09,104553.0
