symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,tp2_mult
ASELS,BUY,2026-01-09T12:00:00+00:00,2026-01-16T04:00:00+00:00,279.5,304.79,270.0163,295.3062,304.79,TP2,9.0483,2.6667,13,52,4.0
ASELS,BUY,2026-02-18T08:00:00+00:00,2026-02-19T12:00:00+00:00,304.75,304.75,296.2919,318.8469,327.305,TP1_BE,0.0,0.0,4,16,4.0
ASELS,BUY,2026-02-27T08:00:00+00:00,2026-03-03T12:00:00+00:00,321.25,321.25,311.461,337.5649,347.3539,TP1_BE,0.0,0.0,7,28,4.0
ASELS,BUY,2026-03-04T04:00:00+00:00,2026-03-09T04:00:00+00:00,327.75,327.75,314.815,349.3084,362.2434,TP1_BE,0.0,0.0,9,36,4.0
ASELS,BUY,2026-03-23T04:00:00+00:00,2026-03-26T08:00:00+00:00,349.5,336.3233,336.3233,371.4612,384.6378,SL,-3.7702,-1.0,10,40,4.0
ASELS,SELL,2026-04-01T08:00:00+00:00,2026-04-02T12:00:00+00:00,321.25,331.5247,331.5247,304.1255,293.8507,SL,-3.1984,-1.0,4,16,4.0
ASELS,BUY,2026-04-08T04:00:00+00:00,2026-04-10T04:00:00+00:00,353.75,382.802,342.8555,371.9075,382.802,TP2,8.2126,2.6667,6,24,4.0
ASELS,BUY,2026-04-28T08:00:00+00:00,2026-04-30T12:00:00+00:00,420.0,422.5,407.2922,441.1797,453.8876,EXPIRED,0.5952,0.1967,7,28,4.0
AKBNK,SELL,2024-12-19T12:00:00+00:00,2024-12-25T04:00:00+00:00,61.5,63.0396,63.0396,58.934,57.3944,SL,-2.5034,-1.0,10,40,4.0
AKBNK,BUY,2024-12-25T12:00:00+00:00,2025-01-03T12:00:00+00:00,63.9,66.6,62.1841,66.7598,68.4757,EXPIRED,4.2253,1.5735,18,72,4.0
AKBNK,BUY,2025-01-20T12:00:00+00:00,2025-01-24T12:00:00+00:00,66.65,66.65,64.8064,69.7226,71.5662,TP1_BE,0.0,0.0,12,48,4.0
AKBNK,SELL,2025-01-30T12:00:00+00:00,2025-02-04T08:00:00+00:00,65.75,65.75,67.1919,63.3468,61.9049,TP1_BE,0.0,0.0,8,32,4.0
AKBNK,SELL,2025-02-07T04:00:00+00:00,2025-02-13T08:00:00+00:00,62.45,64.39,64.39,59.2167,57.2766,SL,-3.1065,-1.0,13,52,4.0
AKBNK,BUY,2025-02-14T08:00:00+00:00,2025-02-24T08:00:00+00:00,64.95,65.1,63.4393,67.4679,68.9787,EXPIRED,0.2309,0.0993,18,72,4.0
AKBNK,BUY,2025-02-25T12:00:00+00:00,2025-03-03T08:00:00+00:00,66.3,70.2718,64.8106,68.7824,70.2718,TP2,5.9907,2.6667,11,44,4.0
AKBNK,BUY,2025-03-04T12:00:00+00:00,2025-03-12T12:00:00+00:00,72.3,74.1,70.2782,75.6697,77.6915,EXPIRED,2.4896,0.8903,18,72,4.0
AKBNK,BUY,2025-03-14T04:00:00+00:00,2025-03-18T12:00:00+00:00,75.5,73.621,73.621,78.6317,80.5107,SL,-2.4887,-1.0,8,32,4.0
AKBNK,SELL,2025-03-25T12:00:00+00:00,2025-04-04T12:00:00+00:00,56.75,52.05,60.0418,51.2637,47.9718,EXPIRED,8.2819,1.4278,18,72,4.0
AKBNK,SELL,2025-04-04T12:00:00+00:00,2025-04-14T12:00:00+00:00,52.05,50.3,54.1214,48.5977,46.5263,EXPIRED,3.3622,0.8448,18,72,4.0
AKBNK,SELL,2025-04-18T12:00:00+00:00,2025-04-21T12:00:00+00:00,49.58,51.1904,51.1904,46.8961,45.2857,SL,-3.248,-1.0,3,12,4.0
AKBNK,SELL,2025-04-29T04:00:00+00:00,2025-05-08T04:00:00+00:00,49.3,49.88,50.8979,46.6369,45.039,EXPIRED,-1.1765,-0.363,18,72,4.0
AKBNK,BUY,2025-05-09T08:00:00+00:00,2025-05-20T08:00:00+00:00,49.92,52.75,48.638,52.0567,53.3387,EXPIRED,5.6691,2.2075,18,72,4.0
AKBNK,BUY,2025-05-21T04:00:00+00:00,2025-05-23T12:00:00+00:00,53.1,51.6448,51.6448,55.5254,56.9806,SL,-2.7405,-1.0,8,32,4.0
AKBNK,SELL,2025-05-27T04:00:00+00:00,2025-06-03T04:00:00+00:00,51.75,53.3783,53.3783,49.0362,47.4079,SL,-3.1465,-1.0,15,60,4.0
AKBNK,BUY,2025-06-13T04:00:00+00:00,2025-06-18T12:00:00+00:00,57.4,57.4,55.6771,60.2714,61.9943,TP1_BE,0.0,0.0,11,44,4.0
AKBNK,BUY,2025-06-24T08:00:00+00:00,2025-06-30T08:00:00+00:00,60.35,65.51,58.415,63.575,65.51,TP2,8.5501,2.6667,12,48,4.0
